number,company,symbol,ytd_return
43,FOX CORP   CLASS A,FOXA,14.59%
44,NUCOR CORP,NUE,14.57%
45,EXELON CORP,EXC,14.53%
46,INTERCONTINENTAL EXCHANGE IN,ICE,14.25%
47,EXPEDITORS INTL WASH INC,EXPD,14.18%
48,ARTHUR J GALLAGHER + CO,AJG,14.14%
49,EBAY INC,EBAY,13.82%
50,WASTE MANAGEMENT INC,WM,13.76%
51,HOWMET AEROSPACE INC,HWM,13.74%
52,WEC ENERGY GROUP INC,WEC,13.61%
53,PROLOGIS INC,PLD,13.44%
54,AMERICAN ELECTRIC POWER,AEP,13.43%
55,MONDELEZ INTERNATIONAL INC A,MDLZ,13.41%
56,3M CO,MMM,13.33%
57,CENCORA INC,COR,13.31%
58,STERIS PLC,STE,13.22%
59,ROPER TECHNOLOGIES INC,ROP,13.18%
60,MCKESSON CORP,MCK,13.04%
61,AUTOZONE INC,AZO,12.90%
62,KLA CORP,KLAC,12.88%
63,FOX CORP   CLASS B,FOX,12.81%
64,ELI LILLY + CO,LLY,12.64%
65,XYLEM INC,XYL,12.58%
66,GLOBE LIFE INC,GL,12.53%
67,MOLINA HEALTHCARE INC,MOH,12.47%
68,DOMINO S PIZZA INC,DPZ,12.46%
69,OTIS WORLDWIDE CORP,OTIS,12.31%
70,PALANTIR TECHNOLOGIES INC A,PLTR,12.27%
71,AON PLC CLASS A,AON,12.23%
72,AMERICAN INTERNATIONAL GROUP,AIG,11.98%
73,LINDE PLC,LIN,11.97%
74,VICI PROPERTIES INC,VICI,11.78%
75,BANK OF NEW YORK MELLON CORP,BK,11.73%
76,ROLLINS INC,ROL,11.72%
77,O REILLY AUTOMOTIVE INC,ORLY,11.23%
78,FASTENAL CO,FAST,11.22%
79,CINTAS CORP,CTAS,11.14%
80,SOUTHERN CO/THE,SO,11.03%
81,TAKE TWO INTERACTIVE SOFTWRE,TTWO,11.00%
82,ELEVANCE HEALTH INC,ELV,10.99%
83,BOSTON SCIENTIFIC CORP,BSX,10.98%
84,RTX CORP,RTX,10.96%
85,COSTAR GROUP INC,CSGP,10.90%
86,MARSH + MCLENNAN COS,MMC,10.87%
87,HESS CORP,HES,10.84%
88,MCDONALD S CORP,MCD,10.83%
89,STANLEY BLACK + DECKER INC,SWK,10.81%
90,PHILLIPS 66,PSX,10.75%
91,GE HEALTHCARE TECHNOLOGY,GEHC,10.74%
92,CHARTER COMMUNICATIONS INC A,CHTR,10.72%
93,AMEREN CORPORATION,AEE,10.60%
94,PRINCIPAL FINANCIAL GROUP,PFG,10.59%
95,ALTRIA GROUP INC,MO,10.52%
96,APTIV PLC,APTV,10.50%
97,KIMBERLY CLARK CORP,KMB,10.49%
98,MICRON TECHNOLOGY INC,MU,10.46%
99,LABCORP HOLDINGS INC,LH,10.34%
100,HCA HEALTHCARE INC,HCA,10.00%
101,SBA COMMUNICATIONS CORP,SBAC,9.78%
102,KENVUE INC,KVUE,9.70%
103,CMS ENERGY CORP,CMS,9.65%
104,CME GROUP INC,CME,9.62%
105,STEEL DYNAMICS INC,STLD,9.61%
106,F5 INC,FFIV,9.61%
107,REALTY INCOME CORP,O,9.49%
108,PAYCHEX INC,PAYX,9.46%
109,LAM RESEARCH CORP,LRCX,9.39%
110,AMCOR PLC,AMCR,9.35%
111,BERKSHIRE HATHAWAY INC CL B,BRK.B,9.34%
112,UNION PACIFIC CORP,UNP,9.33%
113,HERSHEY CO/THE,HSY,9.28%
114,VISA INC CLASS A SHARES,V,9.26%
115,JACK HENRY + ASSOCIATES INC,JKHY,9.12%
116,VERISK ANALYTICS INC,VRSK,9.09%
117,AIR PRODUCTS + CHEMICALS INC,APD,9.09%
118,KROGER CO,KR,9.08%
119,DTE ENERGY COMPANY,DTE,9.05%
120,CBOE GLOBAL MARKETS INC,CBOE,9.01%
121,GENUINE PARTS CO,GPC,8.92%
122,WEYERHAEUSER CO,WY,8.88%
123,PINNACLE WEST CAPITAL,PNW,8.52%
124,ERIE INDEMNITY COMPANY CL A,ERIE,8.37%
125,MCCORMICK + CO NON VTG SHRS,MKC,8.37%
126,DUKE ENERGY CORP,DUK,8.35%
127,ILLINOIS TOOL WORKS,ITW,8.25%
128,COGNIZANT TECH SOLUTIONS A,CTSH,8.23%
129,EASTMAN CHEMICAL CO,EMN,8.18%
130,BRISTOL MYERS SQUIBB CO,BMY,8.01%
131,CISCO SYSTEMS INC,CSCO,8.01%
132,CENTERPOINT ENERGY INC,CNP,7.97%
133,DOLLAR GENERAL CORP,DG,7.94%
134,CHEVRON CORP,CVX,7.94%
135,MOLSON COORS BEVERAGE CO   B,TAP,7.92%
136,SCHLUMBERGER LTD,SLB,7.90%
137,HENRY SCHEIN INC,HSIC,7.79%
138,CROWN CASTLE INC,CCI,7.68%
139,HARTFORD INSURANCE GROUP INC,HIG,7.68%
140,MID AMERICA APARTMENT COMM,MAA,7.63%
141,CHURCH + DWIGHT CO INC,CHD,7.28%
142,ENTERGY CORP,ETR,7.27%
143,TRACTOR SUPPLY COMPANY,TSCO,7.22%
144,FORTINET INC,FTNT,7.20%
145,NXP SEMICONDUCTORS NV,NXPI,7.08%
146,TRAVELERS COS INC/THE,TRV,6.98%
147,SHERWIN WILLIAMS CO/THE,SHW,6.97%
148,CARDINAL HEALTH INC,CAH,6.96%
149,INVITATION HOMES INC,INVH,6.94%
150,EVERGY INC,EVRG,6.90%
151,WR BERKLEY CORP,WRB,6.90%
152,META PLATFORMS INC CLASS A,META,6.86%
153,POOL CORP,POOL,6.85%
154,ATMOS ENERGY CORP,ATO,6.70%
155,TYSON FOODS INC CL A,TSN,6.62%
156,JM SMUCKER CO/THE,SJM,6.59%
157,BROADRIDGE FINANCIAL SOLUTIO,BR,6.56%
158,COLGATE PALMOLIVE CO,CL,6.41%
159,GARMIN LTD,GRMN,6.34%
160,CORTEVA INC,CTVA,6.32%
161,ANALOG DEVICES INC,ADI,6.31%
162,EVERSOURCE ENERGY,ES,6.18%
163,FISERV INC,FI,6.14%
164,DEVON ENERGY CORP,DVN,6.05%
165,WATERS CORP,WAT,5.93%
166,TRANSDIGM GROUP INC,TDG,5.86%
167,PACCAR INC,PCAR,5.81%
168,ESSEX PROPERTY TRUST INC,ESS,5.71%
169,ALLIANT ENERGY CORP,LNT,5.66%
170,WILLIS TOWERS WATSON PLC,WTW,5.63%
171,METTLER TOLEDO INTERNATIONAL,MTD,5.55%
172,TE CONNECTIVITY PLC,TEL,5.48%
173,STRYKER CORP,SYK,5.35%
174,REVVITY INC,RVTY,5.33%
175,COSTCO WHOLESALE CORP,COST,5.24%
176,EXTRA SPACE STORAGE INC,EXR,5.13%
177,ALEXANDRIA REAL ESTATE EQUIT,ARE,5.06%
178,PPL CORP,PPL,4.96%
179,PROCTER + GAMBLE CO/THE,PG,4.95%
180,QUALCOMM INC,QCOM,4.95%
181,PUBLIC STORAGE,PSA,4.86%
182,AFLAC INC,AFL,4.80%
183,KRAFT HEINZ CO/THE,KHC,4.79%
184,MONSTER BEVERAGE CORP,MNST,4.78%
185,NISOURCE INC,NI,4.73%
186,WARNER BROS DISCOVERY INC,WBD,4.73%
187,CAMDEN PROPERTY TRUST,CPT,4.70%
188,AUTOMATIC DATA PROCESSING,ADP,4.69%
189,L3HARRIS TECHNOLOGIES INC,LHX,4.67%
190,NEWS CORP   CLASS B,NWS,4.57%
191,ZOETIS INC,ZTS,4.57%
192,BAKER HUGHES CO,BKR,4.56%
193,LYONDELLBASELL INDU CL A,LYB,4.35%
194,DARDEN RESTAURANTS INC,DRI,4.27%
195,MICROCHIP TECHNOLOGY INC,MCHP,4.22%
196,ALLSTATE CORP,ALL,4.12%
197,TELEDYNE TECHNOLOGIES INC,TDY,4.05%
198,IDEXX LABORATORIES INC,IDXX,4.03%
199,PAYCOM SOFTWARE INC,PAYC,3.93%
200,NIKE INC  CL B,NKE,3.86%
201,MASTERCARD INC   A,MA,3.84%
202,KEURIG DR PEPPER INC,KDP,3.80%
203,CHUBB LTD,CB,3.72%
204,HUNTINGTON INGALLS INDUSTRIE,HII,3.70%
205,NORTHROP GRUMMAN CORP,NOC,3.67%
206,MASCO CORP,MAS,3.62%
207,VALERO ENERGY CORP,VLO,3.47%
208,NORFOLK SOUTHERN CORP,NSC,3.20%
209,GENERAL DYNAMICS CORP,GD,3.06%
210,GEN DIGITAL INC,GEN,3.03%
211,WYNN RESORTS LTD,WYNN,2.97%
212,INTEL CORP,INTC,2.94%
213,NORDSON CORP,NDSN,2.90%
214,DOMINION ENERGY INC,D,2.53%
215,DUPONT DE NEMOURS INC,DD,2.49%
216,INCYTE CORP,INCY,2.49%
217,UDR INC,UDR,2.46%
218,HUMANA INC,HUM,2.38%
219,MOSAIC CO/THE,MOS,2.28%
220,AIRBNB INC CLASS A,ABNB,2.27%
221,ZIMMER BIOMET HOLDINGS INC,ZBH,2.23%
222,THERMO FISHER SCIENTIFIC INC,TMO,2.21%
223,EOG RESOURCES INC,EOG,2.19%
224,COTERRA ENERGY INC,CTRA,2.15%
225,FORTIVE CORP,FTV,2.13%
226,AMETEK INC,AME,2.07%
227,TYLER TECHNOLOGIES INC,TYL,1.97%
228,SEAGATE TECHNOLOGY HOLDINGS,STX,1.96%
229,EQT CORP,EQT,1.93%
230,TARGA RESOURCES CORP,TRGP,1.91%
231,KELLANOVA,K,1.83%
232,OLD DOMINION FREIGHT LINE,ODFL,1.79%
233,NORTHERN TRUST CORP,NTRS,1.78%
234,SMITH (A.O.) CORP,AOS,1.76%
235,RESMED INC,RMD,1.64%
236,TEXAS INSTRUMENTS INC,TXN,1.61%
237,NEXTERA ENERGY INC,NEE,1.59%
238,PEPSICO INC,PEP,1.57%
239,NEWS CORP   CLASS A,NWSA,1.53%
240,WALMART INC,WMT,1.52%
241,JOHNSON CONTROLS INTERNATION,JCI,1.43%
242,EXXON MOBIL CORP,XOM,1.35%
243,HEALTHPEAK PROPERTIES INC,DOC,1.18%
244,BECTON DICKINSON AND CO,BDX,1.18%
245,WELLS FARGO + CO,WFC,1.15%
246,GENERAL MILLS INC,GIS,1.14%
247,JPMORGAN CHASE + CO,JPM,1.07%
248,ADOBE INC,ADBE,1.06%
249,MONOLITHIC POWER SYSTEMS INC,MPWR,0.86%
250,SCHWAB (CHARLES) CORP,SCHW,0.84%
251,LOEWS CORP,L,0.77%
252,SNAP ON INC,SNA,0.76%
253,PFIZER INC,PFE,0.75%
254,RALPH LAUREN CORP,RL,0.71%
255,XCEL ENERGY INC,XEL,0.71%
256,INTERPUBLIC GROUP OF COS INC,IPG,0.57%
257,WILLIAMS COS INC,WMB,0.48%
258,ALLEGION PLC,ALLE,0.47%
259,METLIFE INC,MET,0.45%
260,EVEREST GROUP LTD,EG,0.36%
261,EQUITY RESIDENTIAL,EQR,0.29%
262,COMCAST CORP CLASS A,CMCSA,0.16%
263,FRANKLIN RESOURCES INC,BEN,0.15%
264,SYSCO CORP,SYY,0.12%
265,CITIGROUP INC,C,0.10%
266,DEXCOM INC,DXCM,0.09%
267,REGENCY CENTERS CORP,REG,0.04%
268,FORD MOTOR CO,F,0.00%
269,HILTON WORLDWIDE HOLDINGS IN,HLT,-0.01%
270,NETFLIX INC,NFLX,-0.02%
271,EQUIFAX INC,EFX,-0.06%
272,THE CAMPBELL S COMPANY,CPB,-0.17%
273,PARKER HANNIFIN CORP,PH,-0.20%
274,S+P GLOBAL INC,SPGI,-0.21%
275,MATCH GROUP INC,MTCH,-0.28%
276,LENNOX INTERNATIONAL INC,LII,-0.44%
277,GARTNER INC,IT,-0.49%
278,PALO ALTO NETWORKS INC,PANW,-0.57%
279,CBRE GROUP INC   A,CBRE,-0.63%
280,SIMON PROPERTY GROUP INC,SPG,-0.64%
281,REGENERON PHARMACEUTICALS,REGN,-0.68%
282,AVALONBAY COMMUNITIES INC,AVB,-0.69%
283,INTUITIVE SURGICAL INC,ISRG,-0.71%
284,CORPAY INC,CPAY,-0.80%
285,C.H. ROBINSON WORLDWIDE INC,CHRW,-0.84%
286,CENTENE CORP,CNC,-0.91%
287,PULTEGROUP INC,PHM,-0.91%
288,DOVER CORP,DOV,-1.04%
289,EXPEDIA GROUP INC,EXPE,-1.07%
290,OMNICOM GROUP,OMC,-1.21%
291,CARRIER GLOBAL CORP,CARR,-1.27%
292,TJX COMPANIES INC,TJX,-1.27%
293,MARATHON PETROLEUM CORP,MPC,-1.40%
294,TEXTRON INC,TXT,-1.40%
295,ARCH CAPITAL GROUP LTD,ACGL,-1.46%
296,LIVE NATION ENTERTAINMENT IN,LYV,-1.54%
297,BALL CORP,BALL,-1.58%
298,BIOGEN INC,BIIB,-1.66%
299,LOWE S COS INC,LOW,-1.68%
300,DAVITA INC,DVA,-1.69%
301,VERALTO CORP,VLTO,-1.70%
302,AVERY DENNISON CORP,AVY,-1.70%
303,MOHAWK INDUSTRIES INC,MHK,-1.78%
304,CUMMINS INC,CMI,-1.86%
305,CONAGRA BRANDS INC,CAG,-1.87%
306,ARCHER DANIELS MIDLAND CO,ADM,-2.14%
